variant,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,cooldown_until,signal_date,ndx_return_60_pct,rolling_breadth_max_60,breadth_on_signal,breadth_drawdown_60_points,grid_price_rise_pct,grid_breadth_drawdown_points,grid_breadth_cap
rolling_auxiliary_on,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,17925.05804669876,VIX,climax-top,2008-11-20,2008-11-04,,,,,2.0,30.0,70.0
rolling_auxiliary_on,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,19164.216685308435,VIX,climax-top,2009-01-29,2009-01-13,,,,,2.0,30.0,70.0
rolling_auxiliary_on,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,19565.23443394486,VIX,climax-top,2009-03-05,2009-02-17,,,,,2.0,30.0,70.0
rolling_auxiliary_on,2009-03-09,2011-09-15,1058.85,2273.22,114.47305246654192,0.0,41959.01078219182,VIX,grid-price-rolling-breadth,2011-09-30,2011-09-14,2.1951949772269552,82.12,28.0,54.120000000000005,2.0,30.0,70.0
rolling_auxiliary_on,2011-10-04,2020-02-26,2064.01,8883.01,329.9461450906419,0.0,180395.84991474962,VIX,grid-price-rolling-breadth,2020-03-12,2020-02-25,5.3556330680022635,84.35,50.29,34.059999999999995,2.0,30.0,70.0
rolling_auxiliary_on,2020-03-16,2022-03-21,7502.26,14377.15,91.44604472495635,-6.770893037564683,345357.80504930945,VIX,climax-top,2022-04-05,2022-03-18,,,,,2.0,30.0,70.0
rolling_auxiliary_on,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,355402.6247514049,VIX,climax-top,2022-11-29,2022-11-11,,,,,2.0,30.0,70.0
rolling_auxiliary_on,2023-01-27,2023-03-15,12000.21,12083.24,0.5912629745704548,-1.4160585523086553,357501.98296958185,MA200-recross,grid-price-rolling-breadth,2023-03-30,2023-03-14,3.908296794459054,75.94,42.14,33.8,2.0,30.0,70.0
drawdown_25,2002-07-24,2004-06-08,875.48,1483.59,69.29080634900716,-8.091561200712755,16926.387726837223,VIX,rolling-only,2004-06-23,2004-06-07,5.216931216931231,91.91,60.51,31.4,,,
drawdown_25,2005-03-31,2007-07-27,1489.44,1988.85,33.3965882431005,-5.5450370609088075,22576.88977451732,MA200-recross,rolling-only,2007-08-11,2007-07-26,6.040791489407127,86.21,57.06,29.14999999999999,,,
drawdown_25,2008-01-23,2008-07-09,1725.46,1866.81,8.083880410935683,-3.0386099938567144,24399.897705593958,VIX,rolling-only,2008-07-24,2008-07-08,4.033979718911218,55.98,30.1,25.879999999999995,,,
drawdown_25,2008-08-11,2010-05-10,1921.76,1931.52,0.4074101488927666,-46.06454500041629,24497.301291064512,MA200-recross,rolling-only,2010-05-25,2010-05-07,5.696781272860285,94.2,67.13,27.070000000000007,,,
drawdown_25,2011-06-22,2011-07-18,2243.21,2346.53,4.501345958633437,-1.1657401669928402,25597.964559244512,MA200-recross,rolling-only,2011-08-02,2011-07-15,2.1631978914239403,93.59,67.06,26.53,,,
drawdown_25,2011-08-05,2011-09-15,2227.49,2273.22,1.9509814204319378,-8.497007842908376,26095.35658198992,VIX,rolling-only,2011-09-30,2011-09-14,2.1951949772269552,82.12,28.0,54.120000000000005,,,
drawdown_25,2011-10-04,2011-11-22,2064.01,2205.31,6.739104563638162,0.0,27851.882557258814,VIX,rolling-only,2011-12-07,2011-11-21,2.274314629712726,53.0,27.2,25.8,,,
drawdown_25,2011-12-12,2014-08-04,2295.43,3890.63,69.32519459721398,-3.4921561537489647,47157.56108712001,MA200-recross,rolling-only,2014-08-19,2014-08-01,9.395257819747528,87.97,62.79,25.18,,,
drawdown_25,2015-08-25,2018-03-23,4187.28,6683.19,59.447425295777634,-5.719225845895178,75188.92251144344,VIX,rolling-only,2018-04-07,2018-03-22,3.357839005006835,82.17,54.67,27.5,,,
drawdown_25,2018-10-15,2020-02-26,7129.31,8883.01,24.473917241435135,-17.252160447504735,93588.35244244848,MA200-recross,rolling-only,2020-03-12,2020-02-25,5.3556330680022635,84.35,50.29,34.059999999999995,,,
drawdown_25,2020-03-16,2020-06-12,7502.26,9785.58,30.304725647269326,-6.770893037564683,121947.74284067549,VIX,rolling-only,2020-06-27,2020-06-11,28.292000883067182,61.98,33.46,28.519999999999996,,,
drawdown_25,2022-02-03,2023-03-10,14693.85,12001.7,-18.40324831238187,-27.321022060249696,99503.58094684422,MA200-recross,rolling-only,2023-03-25,2023-03-09,3.740704451053456,75.94,47.71,28.229999999999997,,,
drawdown_25,2023-10-30,2024-12-19,14283.98,21358.79,49.38022794807871,0.0,148636.18223261743,MA200,rolling-only,2025-01-03,2024-12-18,6.339835265662708,79.92,53.87,26.050000000000004,,,
drawdown_30,2002-07-24,2004-06-08,875.48,1483.59,69.29080634900716,-8.091561200712755,16926.387726837223,VIX,rolling-only,2004-06-23,2004-06-07,5.216931216931231,91.91,60.51,31.4,,,
drawdown_30,2005-03-31,2007-07-30,1489.44,1961.78,31.580943200115502,-5.5450370609088075,22269.58481124901,MA200-recross,rolling-only,2007-08-14,2007-07-27,3.5169045313351743,86.21,51.53,34.67999999999999,,,
drawdown_30,2008-01-23,2011-09-15,1725.46,2273.22,31.61405747116589,-39.92848283935878,29307.588011492593,VIX,rolling-only,2011-09-30,2011-09-14,2.1951949772269552,82.12,28.0,54.120000000000005,,,
drawdown_30,2011-10-04,2020-02-26,2064.01,8883.01,329.9461450906419,0.0,126001.5454130086,VIX,rolling-only,2020-03-12,2020-02-25,5.3556330680022635,84.35,50.29,34.059999999999995,,,
drawdown_30,2020-03-16,2023-03-15,7502.26,12083.24,60.90035267506991,-6.770893037564683,202734.32194204244,VIX,rolling-only,2023-03-30,2023-03-14,3.908296794459054,75.94,42.14,33.8,,,
drawdown_35,2002-07-24,2004-06-15,875.48,1470.37,67.78228683894449,-8.091561200712755,16775.55086102606,VIX,rolling-only,2004-06-30,2004-06-14,3.665062861122781,91.77,53.27,38.49999999999999,,,
drawdown_35,2005-03-31,2007-08-10,1489.44,1918.99,28.710922831097086,-5.5450370609088075,21589.67921399838,MA200-recross,rolling-only,2007-08-25,2007-08-09,3.47100903413311,84.77,49.08,35.69,,,
drawdown_35,2008-01-23,2011-09-15,1725.46,2273.22,31.61405747116589,-39.92848283935878,28412.736667977475,VIX,rolling-only,2011-09-30,2011-09-14,2.1951949772269552,82.12,28.0,54.120000000000005,,,
drawdown_35,2011-10-04,2020-02-27,2064.01,8632.54,317.823158517301,0.0,118709.81553576165,VIX,rolling-only,2020-03-13,2020-02-26,5.08069548865504,84.35,46.73,37.62,,,
drawdown_35,2020-03-17,2023-03-16,7198.53,12211.87,69.47438203193653,-2.83724593771228,201180.03154666352,VIX,rolling-only,2023-03-31,2023-03-15,7.986623441414098,75.94,37.17,38.769999999999996,,,
