variant,entry_date,exit_date,entry_price,exit_price,return_pct,max_drawdown_pct,accumulated,buy_trigger,sell_reason,cooldown_until,signal_date,breadth_60_sessions_ago,breadth_on_signal,breadth_fall_60_points,ndx_return_60_pct,original_price_rise_met,ndx_rsi14_on_signal
rsi_le_45,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,19664.790941953223,VIX,climax-top,2009-03-05,2009-02-17,,,,,,
rsi_le_45,2009-03-09,2014-08-08,1058.85,3864.09,264.5679596807349,0.0,71686.88143296402,VIX,rsi14-confirmed-divergence,2014-08-23,2014-08-07,80.32,58.79,21.529999999999994,6.834702710785812,True,43.376511697838374
rsi_le_45,2015-08-25,2018-03-23,4187.28,6683.19,59.447425295777634,-5.719225845895178,114300.29224544503,VIX,rsi14-confirmed-divergence,2018-04-07,2018-03-22,76.43,54.67,21.760000000000005,3.357839005006835,True,39.13369113575777
rsi_le_45,2018-10-15,2020-02-26,7129.31,8883.01,24.473917241435135,-17.252160447504735,142271.80643714132,MA200-recross,rsi14-confirmed-divergence,2020-03-12,2020-02-25,73.3,50.29,23.009999999999998,5.3556330680022635,True,34.02515500968009
rsi_le_45,2020-03-16,2022-03-21,7502.26,14377.15,91.44604472495635,-6.770893037564683,272370.8317222057,VIX,climax-top,2022-04-05,2022-03-18,,,,,,
rsi_le_45,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,280292.3778970447,VIX,climax-top,2022-11-29,2022-11-11,,,,,,
rsi_le_45,2023-01-27,2025-01-02,12000.21,21120.05,75.82142733125194,-1.4160585523086553,492811.3013050172,MA200-recross,rsi14-confirmed-divergence,2025-01-17,2024-12-31,75.69,53.87,21.82,4.877210005280741,True,44.76999725936661
rsi_le_50,2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,11124.5309745696,VIX,climax-top,2002-08-30,2002-08-14,,,,,,
rsi_le_50,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,13486.250950492586,VIX,climax-top,2002-11-27,2002-11-11,,,,,,
rsi_le_50,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,13667.028705149198,MA200-recross,climax-top,2003-04-02,2003-03-17,,,,,,
rsi_le_50,2004-03-25,2004-06-22,1394.2,1455.92,4.322536766332099,0.0,14255.74782042677,MA200-recross,rsi14-confirmed-divergence,2004-07-07,2004-06-21,84.67,56.0,28.67,6.072085486555134,True,49.28415845831433
rsi_le_50,2004-10-19,2007-07-27,1463.01,1988.85,35.806463655616575,-3.838661389874306,19357.868917947675,MA200-recross,rsi14-confirmed-divergence,2007-08-11,2007-07-26,83.54,57.06,26.480000000000004,6.040791489407127,True,49.961689972722446
rsi_le_50,2008-01-23,2008-09-30,1725.46,1540.51,-10.808117263218783,-13.289789389496132,17263.75582680834,VIX,trailing-stop,2008-10-15,2008-09-29,,,,,,
rsi_le_50,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,18155.65937768996,VIX,climax-top,2008-11-20,2008-11-04,,,,,,
rsi_le_50,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,19410.786098599354,VIX,climax-top,2009-01-29,2009-01-13,,,,,,
rsi_le_50,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,19816.989398881884,VIX,climax-top,2009-03-05,2009-02-17,,,,,,
rsi_le_50,2009-03-09,2014-08-08,1058.85,3864.09,264.5679596807349,0.0,72241.74824205441,VIX,rsi14-confirmed-divergence,2014-08-23,2014-08-07,80.32,58.79,21.529999999999994,6.834702710785812,True,43.376511697838374
rsi_le_50,2015-08-25,2018-03-23,4187.28,6683.19,59.447425295777634,-5.719225845895178,115185.01308636052,VIX,rsi14-confirmed-divergence,2018-04-07,2018-03-22,76.43,54.67,21.760000000000005,3.357839005006835,True,39.13369113575777
rsi_le_50,2018-10-15,2020-02-26,7129.31,8883.01,24.473917241435135,-17.252160447504735,143373.05312448018,MA200-recross,rsi14-confirmed-divergence,2020-03-12,2020-02-25,73.3,50.29,23.009999999999998,5.3556330680022635,True,34.02515500968009
rsi_le_50,2020-03-16,2022-03-21,7502.26,14377.15,91.44604472495635,-6.770893037564683,274479.1249477805,VIX,climax-top,2022-04-05,2022-03-18,,,,,,
rsi_le_50,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,282462.00375486194,VIX,climax-top,2022-11-29,2022-11-11,,,,,,
rsi_le_50,2023-01-27,2024-12-19,12000.21,21358.79,77.80890404466236,-1.4160585523086553,502239.8151300726,MA200-recross,rsi14-confirmed-divergence,2025-01-03,2024-12-18,77.13,53.87,23.259999999999998,6.339835265662708,True,49.772946763807255
rsi_le_55,2002-07-24,2002-08-15,875.48,975.09,11.266436389334928,-2.1017042079773356,11124.5309745696,VIX,climax-top,2002-08-30,2002-08-14,,,,,,
rsi_le_55,2002-10-10,2002-11-12,809.46,982.45,21.249727099487348,0.0,13486.250950492586,VIX,climax-top,2002-11-27,2002-11-11,,,,,,
rsi_le_55,2003-01-10,2003-03-18,1059.86,1075.3,1.3553900874935836,-10.186251014284899,13667.028705149198,MA200-recross,climax-top,2003-04-02,2003-03-17,,,,,,
rsi_le_55,2004-03-25,2004-06-15,1394.2,1470.37,5.3579375138137415,0.0,14397.245983790943,MA200-recross,rsi14-confirmed-divergence,2004-06-30,2004-06-14,87.99,53.27,34.71999999999999,3.665062861122781,True,52.226377720818554
rsi_le_55,2005-03-31,2007-07-27,1489.44,1988.85,33.3965882431005,-5.5450370609088075,19203.100977461498,MA200-recross,rsi14-confirmed-divergence,2007-08-11,2007-07-26,83.54,57.06,26.480000000000004,6.040791489407127,True,49.961689972722446
rsi_le_55,2008-01-23,2008-09-30,1725.46,1540.51,-10.808117263218783,-13.289789389496132,17125.715386815777,VIX,trailing-stop,2008-10-15,2008-09-29,,,,,,
rsi_le_55,2008-10-17,2008-11-05,1291.58,1359.82,5.178220440872035,-9.430310162746402,18010.47089941703,VIX,climax-top,2008-11-20,2008-11-04,,,,,,
rsi_le_55,2008-11-24,2009-01-14,1106.02,1183.79,6.924540387985798,-1.343556174391051,19255.54398550971,VIX,climax-top,2009-01-29,2009-01-13,,,,,,
rsi_le_55,2009-02-02,2009-02-18,1168.13,1193.89,2.1030798495609764,0.0,19658.48242019382,VIX,climax-top,2009-03-05,2009-02-17,,,,,,
rsi_le_55,2009-03-09,2014-08-08,1058.85,3864.09,264.5679596807349,0.0,71663.88258389976,VIX,rsi14-confirmed-divergence,2014-08-23,2014-08-07,80.32,58.79,21.529999999999994,6.834702710785812,True,43.376511697838374
rsi_le_55,2015-08-25,2018-03-23,4187.28,6683.19,59.447425295777634,-5.719225845895178,114263.62117276441,VIX,rsi14-confirmed-divergence,2018-04-07,2018-03-22,76.43,54.67,21.760000000000005,3.357839005006835,True,39.13369113575777
rsi_le_55,2018-10-15,2020-02-26,7129.31,8883.01,24.473917241435135,-17.252160447504735,142226.1605164813,MA200-recross,rsi14-confirmed-divergence,2020-03-12,2020-02-25,73.3,50.29,23.009999999999998,5.3556330680022635,True,34.02515500968009
rsi_le_55,2020-03-16,2021-12-01,7502.26,16347.96,117.6893390777586,-6.770893037564683,309608.0119306094,VIX,rsi14-confirmed-divergence,2021-12-16,2021-11-30,78.61,55.73,22.880000000000003,3.0860813934322495,True,52.08672646252694
rsi_le_55,2022-06-14,2022-11-14,11385.18,11728.11,2.909112997110624,-6.100737976913847,318612.8297546486,VIX,climax-top,2022-11-29,2022-11-11,,,,,,
rsi_le_55,2023-01-27,2023-05-04,12000.21,13014.08,8.340374241685012,-1.4160585523086553,345184.2487344666,MA200-recross,rsi14-confirmed-divergence,2023-05-19,2023-05-03,68.98,45.32,23.660000000000004,4.538485668510028,True,53.33968381024968
rsi_le_55,2023-10-30,2024-12-19,14283.98,21358.79,49.38022794807871,0.0,515634.52379812975,MA200,rsi14-confirmed-divergence,2025-01-03,2024-12-18,77.13,53.87,23.259999999999998,6.339835265662708,True,49.772946763807255
