time,open,high,low,close,Volume,Volume MA
1992-01-02,417,417,417,417,,
1992-01-03,457,457,457,457,,
1992-01-06,394,394,394,394,,
1992-01-07,443,443,443,443,,
1992-01-08,416,416,416,416,,
1992-01-09,437,437,437,437,,
1992-01-10,467,467,467,467,,
1992-01-13,449,449,449,449,,
1992-01-14,436,436,436,436,,
1992-01-15,410,410,410,410,,
1992-01-16,406,406,406,406,,
1992-01-17,462,462,462,462,,
1992-01-20,504,504,504,504,,
1992-01-21,437,437,437,437,,
1992-01-22,439,439,439,439,,
1992-01-23,471,471,471,471,,
1992-01-24,488,488,488,488,,
1992-01-27,466,466,466,466,,
1992-01-28,507,507,507,507,,
1992-01-29,509,509,509,509,,
1992-01-30,490,490,490,490,,
1992-01-31,503,503,503,503,,
1992-02-03,494,494,494,494,,
1992-02-04,479,479,479,479,,
1992-02-05,490,490,490,490,,
1992-02-06,503,503,503,503,,
1992-02-07,509,509,509,509,,
1992-02-11,488,488,488,488,,
1992-02-12,466,466,466,466,,
1992-02-13,478,478,478,478,,
1992-02-14,501,501,501,501,,
1992-02-18,450,450,450,450,,
1992-02-19,503,503,503,503,,
1992-02-20,489,489,489,489,,
1992-02-21,523,523,523,523,,
1992-02-24,498,498,498,498,,
1992-02-25,491,491,491,491,,
1992-02-26,487,487,487,487,,
1992-02-27,532,532,532,532,,
1992-02-28,529,529,529,529,,
1992-03-02,507,507,507,507,,
1992-03-03,537,537,537,537,,
1992-03-04,556,556,556,556,,
1992-03-05,478,478,478,478,,
1992-03-06,524,524,524,524,,
1992-03-09,503,503,503,503,,
1992-03-10,528,528,528,528,,
1992-03-11,532,532,532,532,,
1992-03-12,571,571,571,571,,
1992-03-13,526,526,526,526,,
1992-03-16,516,516,516,516,,
1992-03-17,510,510,510,510,,
1992-03-18,520,520,520,520,,
1992-03-19,533,533,533,533,,
1992-03-20,543,543,543,543,,
1992-03-23,537,537,537,537,,
1992-03-24,525,525,525,525,,
1992-03-25,564,564,564,564,,
